654373762853295143461124847554483411779912962609,50488845517323809231641272328965209738706354315,662332710140332330894800725579256635981865244984,1415821221623963719413415453263690387336440359920,4,136,154,1000,101000000010000000,22
115464315551293037571812140607608994074494030971,561992059628125297749157596100378348163197505792,896322705601788746101957890134473338477430852947,1415821221623963719413415453263690387336440359920,1,127,148,1,100000000100000000000,22
606362614219170680550426433125165893979824633191,657222576221605435967786714215118405879736855636,746807259181946593653109337976420624730520879473,1415821221623963719413415453263690387336440359920,6,9,23,110001,10100010000000,20
86383046450963794579663363300352383165776699988,528472359233669027119925522925820941728354825588,1138785518209856224244491342775086300984334388208,1415821221623963719413415453263690387336440359920,5,12,25,10000,1100000001000,18
616828278760327918490074932218252836674142853274,147016757457237249290318270427932452985827722906,776428753159222473070169265233420743492808723419,1415821221623963719413415453263690387336440359920,1,135,151,1,1000100000000000,17
376451440040085949638114934783200854512883903629,586017318318056530726106201701914219947437288915,1057409263226216988684367460312044611643599872960,1415821221623963719413415453263690387336440359920,7,71,81,1000000,1000001000,17
247836320313735386176388353637342313631294944499,175278398487948848267791408049284240041761339835,704661741720537571020756741239805400771773740569,1415821221623963719413415453263690387336440359920,4,126,139,1001,1100010000000,17
955665344252606330494369288788301115887594702601,1018232937399720284688281322235812692110188410891,663672644894733014570196152871083555663340365100,1415821221623963719413415453263690387336440359920,3,133,147,100,10100010000000,17
936056179434361758888459679396072734321377163803,274185882439617437870407953477560105371371616248,1069421109650729459907733918860933054967083099450,1415821221623963719413415453263690387336440359920,4,106,118,1010,100000001000,16
829937506585252213835264094504305460409152487150,108866910590798220508187219478240167979345606610,960822566276607350167555824524133084455511168324,1415821221623963719413415453263690387336440359920,9,39,46,101000100,1000000,16
378246019624961519107954190242976082366261007726,659103753868051172339963385864485567764334602180,370341352698226778647547924786186128926089732930,1415821221623963719413415453263690387336440359920,7,15,24,1000010,110001000,16
214290834062203251521349987077456442539731705106,82375243607139479070910529480312139351384845242,802745137717010087581274598737960857503818238992,1415821221623963719413415453263690387336440359920,5,123,134,10000,10010000000,16
466737736777258207394270651256844804486911856648,1013374570910029515023168186583738762668757857485,514483364028524553108154914326844210853649045521,1415821221623963719413415453263690387336440359920,5,64,75,10001,10010000000,16
1062659438361686545398393498784959737176941962063,306163209180003630461919769228621685528375380085,829474631074406281189171251203745163276271940017,1415821221623963719413415453263690387336440359920,6,18,28,110001,1010000000,16
829937506585252213835264094504305460409152487150,108866910590798220508187219478240167979345606610,960822566276607350167555824524133084455511168324,1415821221623963719413415453263690387336440359920,9,112,119,101000100,1000000,16
829937506585252213835264094504305460409152487150,108866910590798220508187219478240167979345606610,960822566276607350167555824524133084455511168324,1415821221623963719413415453263690387336440359920,9,142,148,101000100,101000,15
47172487130545302187610581068306149519986182040,566845164963232409459281167023105512267679735759,399956711234760138660786858191874819009468741052,1415821221623963719413415453263690387336440359920,3,16,28,100,100000000000,15
967852936070567889120372024521593278884773733776,803884438181014028640050161552499651451745094669,369613714937575416013163847472641260021091581397,1415821221623963719413415453263690387336440359920,3,38,50,101,100010001000,15
